11160|17450|02-JAN-98|I|9999|19|798|15|42|                                      
1340|33710|03-JAN-98|S|9999|16|1264|31.2|79|                                    
25270|65880|05-JAN-98|I|9999|5|210|14.4|42|                                     
1615|73480|05-JAN-98|I|9999|8|96|5.4|12|                                        
1900|84910|06-JAN-98|I|9999|42|378|3.6|9|                                       
8085|37900|09-JAN-98|S|9999|1|68|31.8|68|                                       
755|26590|09-JAN-98|I|9999|11|132|6.6|12|                                       
10|68060|09-JAN-98|P|9999|28|4900|93|175|                                       
13425|109310|10-JAN-98|I|9999|1|68|28.2|68|                                     
1955|65190|10-JAN-98|S|9999|28|1512|28.8|54|                                    
970|68530|12-JAN-98|P|9999|28|1092|11.4|39|                                     
3150|65930|14-JAN-98|S|9999|28|1456|13.8|52|                                    
23105|32910|14-JAN-98|P|9999|2|290|65.4|145|                                    
530|136270|16-JAN-98|P|9999|11|308|14.4|28|                                     
3130|41720|20-JAN-98|S|9999|1|22|8.4|22|                                        
16515|12290|20-JAN-98|S|9999|20|720|19.2|36|                                    
9225|19400|23-JAN-98|S|9999|4|312|33|78|                                        
2655|80960|28-JAN-98|S|9999|24|4680|68.4|195|                                   
10600|24410|29-JAN-98|P|9999|14|546|17.4|39|                                    
2510|6950|01-FEB-98|S|9999|2|78|21|39|                                          
2725|11110|01-FEB-98|S|9999|2|116|24.6|58|                                      
16440|145950|02-FEB-98|P|9999|8|320|12.6|40|                                    
1845|72380|04-FEB-98|S|9999|9|432|18.6|48|                                      
9845|9700|04-FEB-98|C|9999|17|561|13.2|33|                                      
11525|145950|05-FEB-98|I|9999|1|19|10.2|19|                                     
3770|32800|06-FEB-98|S|9999|14|1316|33.6|94|                                    
3445|33530|07-FEB-98|T|9999|2|170|23.4|85|                                      
4255|46380|08-FEB-98|P|9999|8|368|24|46|                                        
4540|17920|09-FEB-98|I|9999|29|1537|18.6|53|                                    
8045|49620|09-FEB-98|S|9999|3|567|93.6|189|                                     
18080|47430|13-FEB-98|I|9999|41|1968|18|48|                                     
2560|18510|14-FEB-98|C|9999|12|1176|38.4|98|                                    
